Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
myNSGAII,WFG1,HV,0,0.5945342466355822
myNSGAII,WFG1,HV,1,0.5203242155552268
myNSGAII,WFG1,HV,2,0.5990940319772874
myNSGAII,WFG1,HV,3,0.4836603552406932
myNSGAII,WFG1,HV,4,0.5199315813032274
myNSGAII,WFG1,HV,5,0.5484021351065781
myNSGAII,WFG1,HV,6,0.5355934259978126
myNSGAII,WFG1,HV,7,0.5496447352492421
myNSGAII,WFG1,HV,8,0.5872737300869663
myNSGAII,WFG1,HV,9,0.5975089642040474
myNSGAII,WFG1,HV,10,0.5575549066627237
myNSGAII,WFG1,HV,11,0.6651455040843965
myNSGAII,WFG1,HV,12,0.5836367296734661
myNSGAII,WFG1,HV,13,0.500091575141747
myNSGAII,WFG1,HV,14,0.5303431808575363
myNSGAII,WFG1,HV,15,0.5192368262036149
myNSGAII,WFG1,HV,16,0.5294156455613044
myNSGAII,WFG1,HV,17,0.5973149966519605
myNSGAII,WFG1,HV,18,0.5715101219428315
myNSGAII,WFG1,HV,19,0.5170844787344624
myNSGAII,WFG1,HV,20,0.58331097175672
myNSGAII,WFG1,HV,21,0.5840857360544727
myNSGAII,WFG1,HV,22,0.5525911588599751
myNSGAII,WFG1,HV,23,0.5093002427194484
myNSGAII,WFG1,HV,24,0.5933867079197986
myNSGAII,WFG1,HV,25,0.6133203100203477
myNSGAII,WFG1,HV,26,0.5474069735240128
myNSGAII,WFG1,HV,27,0.6073089836841244
myNSGAII,WFG1,HV,28,0.6403330780477681
myNSGAII,WFG1,HV,29,0.5013084364673351
myNSGAII,WFG1,HV,30,0.5667453640419138
myNSGAII,WFG1,HV,31,0.5723684454820465
myNSGAII,WFG1,HV,32,0.4974009616378518
myNSGAII,WFG1,HV,33,0.5967725787359951
myNSGAII,WFG1,HV,34,0.5680484549193479
myNSGAII,WFG1,HV,35,0.5334030351072181
myNSGAII,WFG1,HV,36,0.5427503474634665
myNSGAII,WFG1,HV,37,0.5565548874953452
myNSGAII,WFG1,HV,38,0.5696778781364774
myNSGAII,WFG1,HV,39,0.502149278712857
myNSGAII,WFG2,HV,0,0.7542776329775588
myNSGAII,WFG2,HV,1,0.7520777155419922
myNSGAII,WFG2,HV,2,0.7533652963705001
myNSGAII,WFG2,HV,3,0.8726281726220687
myNSGAII,WFG2,HV,4,0.7525961586198714
myNSGAII,WFG2,HV,5,0.883311691753124
myNSGAII,WFG2,HV,6,0.8716403458485423
myNSGAII,WFG2,HV,7,0.8767054912940524
myNSGAII,WFG2,HV,8,0.7552087876265265
myNSGAII,WFG2,HV,9,0.8844227335672168
myNSGAII,WFG2,HV,10,0.8800703885367305
myNSGAII,WFG2,HV,11,0.8819696681716824
myNSGAII,WFG2,HV,12,0.753136559786336
myNSGAII,WFG2,HV,13,0.8819984588546289
myNSGAII,WFG2,HV,14,0.7569253970357066
myNSGAII,WFG2,HV,15,0.8840194715533902
myNSGAII,WFG2,HV,16,0.8779506731910748
myNSGAII,WFG2,HV,17,0.7580705036268944
myNSGAII,WFG2,HV,18,0.8731834145706235
myNSGAII,WFG2,HV,19,0.8809042233331779
myNSGAII,WFG2,HV,20,0.8866029339377607
myNSGAII,WFG2,HV,21,0.7521516229941315
myNSGAII,WFG2,HV,22,0.752440291704231
myNSGAII,WFG2,HV,23,0.8714413706676276
myNSGAII,WFG2,HV,24,0.8815293229310638
myNSGAII,WFG2,HV,25,0.7543089539680805
myNSGAII,WFG2,HV,26,0.7543171224963828
myNSGAII,WFG2,HV,27,0.7524447558481425
myNSGAII,WFG2,HV,28,0.755380579120397
myNSGAII,WFG2,HV,29,0.8827693855488427
myNSGAII,WFG2,HV,30,0.7515610767620842
myNSGAII,WFG2,HV,31,0.8786076157024665
myNSGAII,WFG2,HV,32,0.7574688964975067
myNSGAII,WFG2,HV,33,0.8850633964259748
myNSGAII,WFG2,HV,34,0.7556221148968003
myNSGAII,WFG2,HV,35,0.752722651669285
myNSGAII,WFG2,HV,36,0.8812009019234284
myNSGAII,WFG2,HV,37,0.8796855406906215
myNSGAII,WFG2,HV,38,0.8793292739181074
