Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAII,WFG1,HV,0,0.44154554121790657
NSGAII,WFG1,HV,1,0.5969971566120369
NSGAII,WFG1,HV,2,0.5392585056933771
NSGAII,WFG1,HV,3,0.5897603564469034
NSGAII,WFG1,HV,4,0.5112395052794805
NSGAII,WFG1,HV,5,0.5913594487381548
NSGAII,WFG1,HV,6,0.5294262769364413
NSGAII,WFG1,HV,7,0.5772740144663877
NSGAII,WFG1,HV,8,0.5275895272350914
NSGAII,WFG1,HV,9,0.5901313449266076
NSGAII,WFG1,HV,10,0.5078833135417355
NSGAII,WFG1,HV,11,0.5764601994978404
NSGAII,WFG1,HV,12,0.5925172819762375
NSGAII,WFG1,HV,13,0.5906093127377342
NSGAII,WFG1,HV,14,0.5376935254709467
NSGAII,WFG1,HV,15,0.4731398796426221
NSGAII,WFG1,HV,16,0.5853637571024056
NSGAII,WFG1,HV,17,0.47529158173515207
NSGAII,WFG1,HV,18,0.5197746201441916
NSGAII,WFG1,HV,19,0.5619280709087413
NSGAII,WFG1,HV,20,0.5531732566434122
NSGAII,WFG1,HV,21,0.5548302270053804
NSGAII,WFG1,HV,22,0.5349568767989012
NSGAII,WFG1,HV,23,0.5907064985378057
NSGAII,WFG1,HV,24,0.5148264139406851
NSGAII,WFG1,HV,25,0.5842767293458053
NSGAII,WFG1,HV,26,0.5805408978609744
NSGAII,WFG1,HV,27,0.5469078765372124
NSGAII,WFG1,HV,28,0.585535315880447
NSGAII,WFG1,HV,29,0.5654803761047703
NSGAII,WFG1,HV,30,0.5799164555112902
NSGAII,WFG1,HV,31,0.46463680611484387
NSGAII,WFG1,HV,32,0.5792772456154258
NSGAII,WFG1,HV,33,0.461027378115871
NSGAII,WFG1,HV,34,0.5954252331720591
NSGAII,WFG1,HV,35,0.5767565173220578
NSGAII,WFG1,HV,36,0.5814896885291546
NSGAII,WFG1,HV,37,0.570340058629365
NSGAII,WFG1,HV,38,0.3628110563020061
NSGAII,WFG1,HV,39,0.5769811175100779
NSGAII,WFG2,HV,0,0.5503715594030527
NSGAII,WFG2,HV,1,0.5558968676660783
NSGAII,WFG2,HV,2,0.5549407992031234
NSGAII,WFG2,HV,3,0.5547152883813563
NSGAII,WFG2,HV,4,0.5502369582252814
NSGAII,WFG2,HV,5,0.5551659872774016
NSGAII,WFG2,HV,6,0.5548942998394473
NSGAII,WFG2,HV,7,0.550144797147798
NSGAII,WFG2,HV,8,0.5510750620855243
NSGAII,WFG2,HV,9,0.550473151192093
NSGAII,WFG2,HV,10,0.549566046998346
NSGAII,WFG2,HV,11,0.5497129845981709
NSGAII,WFG2,HV,12,0.5541051242812786
NSGAII,WFG2,HV,13,0.5502967360981103
NSGAII,WFG2,HV,14,0.5509099816774685
NSGAII,WFG2,HV,15,0.5551122193678645
NSGAII,WFG2,HV,16,0.5504685873585823
NSGAII,WFG2,HV,17,0.5505863506896697
NSGAII,WFG2,HV,18,0.549849547053479
NSGAII,WFG2,HV,19,0.55035792973284
NSGAII,WFG2,HV,20,0.5547691885293317
NSGAII,WFG2,HV,21,0.5537313908465263
NSGAII,WFG2,HV,22,0.550928802695029
NSGAII,WFG2,HV,23,0.5506522389069786
NSGAII,WFG2,HV,24,0.5553612939969568
NSGAII,WFG2,HV,25,0.5554222781911191
NSGAII,WFG2,HV,26,0.55060661799983
NSGAII,WFG2,HV,27,0.5554708691263321
NSGAII,WFG2,HV,28,0.5509321552211921
NSGAII,WFG2,HV,29,0.5551541570467207
NSGAII,WFG2,HV,30,0.5534769184459751
NSGAII,WFG2,HV,31,0.5511649745808899
NSGAII,WFG2,HV,32,0.5492999699514852
NSGAII,WFG2,HV,33,0.5511568767133147
NSGAII,WFG2,HV,34,0.5509870071587792
NSGAII,WFG2,HV,35,0.5550739789286789
NSGAII,WFG2,HV,36,0.5502827652051051
NSGAII,WFG2,HV,37,0.5507371563469246
NSGAII,WFG2,HV,38,0.5544445442723674
NSGAII,WFG2,HV,39,0.5514461686275941
NSGAII,WFG3,HV,0,0.4882852958930281
NSGAII,WFG3,HV,1,0.4899756735535659
NSGAII,WFG3,HV,2,0.49067380651656145
NSGAII,WFG3,HV,3,0.49084180046700754
NSGAII,WFG3,HV,4,0.4878604368763526
NSGAII,WFG3,HV,5,0.4896613718400854
NSGAII,WFG3,HV,6,0.48949722505070525
NSGAII,WFG3,HV,7,0.490187712184997
